Column,Datatype
Destination_Port,int64
Flow_Duration,float64
Total_Fwd_Packets,int64
Total_Length_of_Fwd_Packets,int64
Fwd_Packet_Length_Max,int64
Fwd_Packet_Length_Min,float64
Fwd_Packet_Length_Mean,float64
Bwd_Packet_Length_Max,int64
Bwd_Packet_Length_Min,int64
Flow_Bytes_s,float64
Flow_Packets_s,float64
Flow_IAT_Mean,float64
Flow_IAT_Std,float64
Flow_IAT_Max,int64
Flow_IAT_Min,int64
Fwd_IAT_Mean,float64
Fwd_IAT_Std,float64
Fwd_IAT_Min,float64
Bwd_IAT_Total,int64
Bwd_IAT_Mean,float64
Bwd_IAT_Std,float64
Bwd_IAT_Max,float64
Bwd_IAT_Min,float64
Fwd_PSH_Flags,int64
Fwd_Header_Length,int64
Bwd_Header_Length,int64
Bwd_Packets_s,float64
Min_Packet_Length,float64
Max_Packet_Length,int64
Packet_Length_Mean,float64
Packet_Length_Variance,float64
FIN_Flag_Count,int64
PSH_Flag_Count,int64
ACK_Flag_Count,int64
URG_Flag_Count,int64
Down_Up_Ratio,float64
Init_Win_bytes_forward,float64
Init_Win_bytes_backward,int64
act_data_pkt_fwd,float64
min_seg_size_forward,int64
Active_Mean,float64
Active_Std,float64
Active_Max,int64
Active_Min,int64
Idle_Std,float64
Label,int64
