,Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Flow_Bytes_s,Flow_Packets_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Fwd_Header_Length,Bwd_Header_Length,Bwd_Packets_s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Variance,FIN_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,Down_Up_Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Std
Destination_Port,1.0,-0.15733741532356926,-0.0885637810716744,-0.05481866159575466,-0.08253171782748966,-0.48750972147506033,-0.2909612608184022,-0.20324151953219508,-0.4872364681724932,0.1768023346142296,0.6255558515378232,-0.18603509082037675,-0.16798108484879157,-0.15914507503704392,-0.08684205630185668,-0.18173935514316913,-0.14877427961864947,-0.08626886246496102,-0.09648885367370992,-0.10059004039803403,-0.09104411569045481,-0.10317884131363923,-0.19786496674317253,,-0.10745959832764614,-0.1576266778444214,0.32317561800501526,-0.5059786926640828,-0.14967305476467074,-0.2353531026239712,-0.09994041037086648,,0.09962987288921964,0.5103734974894167,,-0.1027660084952826,0.08799401935103851,0.17844362885725013,-0.09355359658266946,0.020247740479265912,,,,,
Flow_Duration,-0.15733741532356926,1.0,0.692458540986121,0.5828847115672329,0.6144002369865545,-0.3429507031268946,0.3323084463019516,0.5952810587811862,-0.33576905378036676,-0.3761923240087797,-0.3741101711479922,0.9258209825400243,0.9546635658566248,0.9873766337299094,-0.13877019362799997,0.9280502700056114,0.8609834543353786,0.29237428636969104,0.7282850488132536,0.7355463447013302,0.6882740391489285,0.7449591256223332,0.4339665160275758,,0.6966342563712502,0.6811226295759899,-0.36122448110356903,-0.3487833770682138,0.6032183552232045,0.5301335706056388,0.5713590245446292,,0.2765960226036344,0.023278204471180258,,-0.23631348194124635,0.2542858266566537,0.3528678422079229,0.5443049477090222,-0.10295864907118199,,,,,
Total_Fwd_Packets,-0.0885637810716744,0.692458540986121,1.0,0.8702598708442599,0.8052651873360317,-0.44314740348340564,0.4730945373899002,0.7234676325876466,-0.39109068775215156,-0.28558665663988153,-0.38603700142857655,0.5564885472238437,0.6227977945499513,0.6430851183470101,-0.36416826666250895,0.601642700026496,0.7000570777538627,0.22859425025371674,0.7115280040421251,0.6696756319229241,0.7398597992448238,0.6788249644799933,0.37022634530244936,,0.972190629247462,0.883410288643244,-0.3856053215722255,-0.4410008755692778,0.6854595559541691,0.6288724073966399,0.7022950336354414,,0.578603053887283,-0.14692597037323443,,-0.38127477816427735,0.5298908199450856,0.4042492050277927,0.8689815365398817,-0.07064076075011468,,,,,
Total_Length_of_Fwd_Packets,-0.05481866159575466,0.5828847115672329,0.8702598708442599,1.0,0.944528191168103,-0.3074283396815024,0.7544837614019501,0.6619313386170635,-0.2964699093421842,-0.24092563793660948,-0.36926311693070124,0.43426316903190937,0.5023731697289809,0.5359505182066144,-0.3117695754406691,0.4672339852303562,0.5502599127765101,0.2242155084060689,0.6978495393052352,0.6634023616627118,0.7303648638298409,0.662544681848896,0.3420662545129113,,0.8558949623200574,0.8505783726973029,-0.337209392463126,-0.3229409769276559,0.6662727299758906,0.662813820452296,0.6994294204119068,,0.5755035241519944,-0.24870537874907025,,-0.20445516559188406,0.5190623398349307,0.3604742013349108,0.7818482621651169,-0.038349593546024595,,,,,
Fwd_Packet_Length_Max,-0.08253171782748966,0.6144002369865545,0.8052651873360317,0.944528191168103,1.0,-0.3327826127569093,0.7778949680110944,0.6931230417535469,-0.31962418616196986,-0.2542078352973067,-0.3744231684420284,0.47738525045936536,0.5407496047697977,0.572579669173947,-0.2786016607460271,0.5042653204671211,0.5789020561843445,0.2408097873722723,0.6731070442814268,0.6537253948894947,0.7366012114202041,0.6482513871630501,0.3845380796907778,,0.815168701633419,0.8325914955000789,-0.350876434525399,-0.348983851636541,0.7103902521248661,0.6962879446341522,0.7259494554860587,,0.5425232432863369,-0.20710437290744,,-0.19020298676722194,0.49811434482290906,0.37259172144310954,0.6652336504099097,-0.01943241696389268,,,,,
Fwd_Packet_Length_Min,-0.48750972147506033,-0.3429507031268946,-0.44314740348340564,-0.3074283396815024,-0.3327826127569093,1.0,0.16857050853491787,-0.3899345506450258,0.8370230027336593,0.15404524860220611,-0.15389480711271292,-0.3105523893786377,-0.3375264210448918,-0.33008945681094504,0.2804318336959285,-0.3338195096382654,-0.41785816359177924,-0.2801543206394292,-0.3491875489404059,-0.34358100528460034,-0.42084790400880207,-0.3375598512990549,-0.14310839902515538,,-0.4425039318391646,-0.3577752827032886,0.06298678904126363,0.9821044214986017,-0.4001731716185544,-0.23321746204947336,-0.4274964402454519,,-0.495974696515618,-0.42052676988586796,,0.35469423047776966,-0.45114716932745386,-0.5058106312189801,-0.3352881176866332,0.05067640787071149,,,,,
Fwd_Packet_Length_Mean,-0.2909612608184022,0.3323084463019516,0.4730945373899002,0.7544837614019501,0.7778949680110944,0.16857050853491787,1.0,0.4153450066156743,0.11034685824807933,-0.14754681158197788,-0.42646184194481235,0.2342175012688786,0.27471038694476746,0.30932169293223133,-0.12479089149325183,0.24681935034747954,0.2769954353395764,0.1516887716830385,0.44592494736062815,0.4459851560085763,0.4741981815304937,0.4287878695996446,0.27674950690990463,,0.47790612979028274,0.5346588798417558,-0.3135807913958898,0.1524279958447726,0.44741628351630724,0.5496778364582628,0.4704718454058654,,0.2717590255572659,-0.40396666136330683,,-0.007382246556378969,0.23848838142918297,0.08712359758902118,0.46738191922186784,-0.023408347219011326,,,,,
Bwd_Packet_Length_Max,-0.20324151953219508,0.5952810587811862,0.7234676325876466,0.6619313386170635,0.6931230417535469,-0.3899345506450258,0.4153450066156743,1.0,-0.32545789024332783,-0.2522496123863956,-0.3843830135287965,0.4630204712115596,0.5285679574750193,0.578290013220995,-0.3174077318903429,0.4876015921573665,0.5598745387532916,0.178454133608351,0.6650445478049648,0.641587339888368,0.7638349248982865,0.6483510469810541,0.36241427872298726,,0.7363157465320564,0.7955099302238805,-0.3444877048709137,-0.3868323812487019,0.9401312227830206,0.9065119941690972,0.9421447667121158,,0.5058044979082486,-0.1803607870852891,,-0.09172795442090682,0.3953697318690132,0.36376178614935967,0.5934419323856404,-0.08640959256025635,,,,,
Bwd_Packet_Length_Min,-0.4872364681724932,-0.33576905378036676,-0.39109068775215156,-0.2964699093421842,-0.31962418616196986,0.8370230027336593,0.11034685824807933,-0.32545789024332783,1.0,0.12781633945449936,-0.1709764888930152,-0.3117667296941517,-0.3273356934134832,-0.326257643052709,0.1608227893596837,-0.32401439304552065,-0.3697508740041951,-0.2867965244563578,-0.3404910967962421,-0.33560993553902946,-0.3900246453021966,-0.3304818645196978,-0.13398233235874668,,-0.38523670905724294,-0.3039390440967445,0.067584761321598,0.8531708352296012,-0.3506023334129194,-0.18441077686272417,-0.3870550783144339,,-0.4387116007152093,-0.43107443714961535,,0.3181707348263485,-0.41376943710634606,-0.45069593561997967,-0.2919355392688323,0.0854368304280258,,,,,
Flow_Bytes_s,0.1768023346142296,-0.3761923240087797,-0.28558665663988153,-0.24092563793660948,-0.2542078352973067,0.15404524860220611,-0.14754681158197788,-0.2522496123863956,0.12781633945449936,1.0,0.6396065604469072,-0.394750667818665,-0.3757335270878058,-0.3740763280875567,-0.24472273593807733,-0.3707381990968246,-0.36481909713279564,-0.2291393482287202,-0.3457463611219861,-0.356154116776804,-0.33507339274172543,-0.3460289916035972,-0.13990669413131177,,-0.2893577339307484,-0.26265137671761807,0.6575148158765011,0.15501276992471236,-0.23161768734747581,-0.20103788652273907,-0.23651491114595138,,-0.11506376113948336,-0.024873458970442505,,0.15184681795939195,-0.15053396067234315,-0.24522491817514824,-0.22832518934508705,0.01132664180868392,,,,,
