Principal Component,Explained Variance,Cumulative Variance
1,0.4517213760782949,0.4517213760782949
2,0.11180386507647719,0.5635252411547721
3,0.0878206868699474,0.6513459280247195
4,0.0522160218443168,0.7035619498690363
5,0.04503722616603921,0.7485991760350755
6,0.03926838409903696,0.7878675601341125
7,0.03210163828261516,0.8199691984167277
8,0.02603664459909819,0.8460058430158258
9,0.023149489594106978,0.8691553326099328
10,0.021075494688423093,0.8902308272983559
11,0.01779338563883841,0.9080242129371943
12,0.013886234969398182,0.9219104479065925
13,0.012828728112566997,0.9347391760191595
14,0.010534878902703224,0.9452740549218627
15,0.00946657882226758,0.9547406337441302
16,0.007133775869329385,0.9618744096134596
17,0.005937031777914618,0.9678114413913742
18,0.0052194077305867575,0.9730308491219609
19,0.0047642680964242665,0.9777951172183852
20,0.003798064250186502,0.9815931814685717
21,0.0036530838478032214,0.9852462653163749
22,0.0022237149851951016,0.9874699803015701
23,0.0020395979375286842,0.9895095782390988
24,0.0019750164088161042,0.9914845946479149
25,0.0015152327204568687,0.9929998273683718
26,0.00129236942432651,0.9942921967926983
27,0.0010400705748011914,0.9953322673674995
28,0.0009209152265737826,0.9962531825940732
29,0.0007964576818788268,0.9970496402759521
30,0.000640220784620281,0.9976898610605723
31,0.0004922363435369729,0.9981820974041093
32,0.0004494307125747289,0.9986315281166841
33,0.00039014905386173295,0.9990216771705458
34,0.000359624484193602,0.9993813016547394
35,0.0002734372783812325,0.9996547389331206
36,0.0002047844764924287,0.999859523409613
37,0.0001404765903869941,1.0
38,3.9941984645764624e-19,1.0
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,0.0,1.0
45,0.0,1.0
