Feature,Importance,Cumulative Importance
Destination_Port,0.08674101784911527,0.08674101784911527
Init_Win_bytes_backward,0.06318677827170188,0.14992779612081714
Bwd_Packets_s,0.04880006033801325,0.1987278564588304
Bwd_Header_Length,0.04593542403208155,0.24466328049091196
Flow_Packets_s,0.04479184694831169,0.28945512743922364
Max_Packet_Length,0.042990997598407105,0.3324461250376307
Flow_Duration,0.03921601148659118,0.37166213652422186
Flow_IAT_Std,0.038297214605678545,0.4099593511299004
Flow_IAT_Max,0.03621611931161914,0.4461754704415195
min_seg_size_forward,0.035905100316048155,0.48208057075756766
Init_Win_bytes_forward,0.03529779017677547,0.5173783609343431
Packet_Length_Mean,0.03495064214947467,0.5523290030838177
Flow_Bytes_s,0.034722373904789244,0.587051376988607
Fwd_Packet_Length_Max,0.032918226842658195,0.6199696038312652
Fwd_Packet_Length_Mean,0.03158809443500471,0.6515576982662699
Total_Length_of_Fwd_Packets,0.030718615657812767,0.6822763139240826
Bwd_Packet_Length_Max,0.02863233267733075,0.7109086466014134
Flow_IAT_Min,0.028517706209787493,0.7394263528112008
Fwd_Header_Length,0.027222355831974028,0.7666487086431749
Total_Fwd_Packets,0.025202379594857702,0.7918510882380326
act_data_pkt_fwd,0.024682797952796032,0.8165338861908287
Packet_Length_Variance,0.024395717299348595,0.8409296034901773
Flow_IAT_Mean,0.02376469664778055,0.8646943001379579
Fwd_IAT_Mean,0.020276002718327715,0.8849703028562856
Bwd_Packet_Length_Min,0.019549786134731854,0.9045200889910175
PSH_Flag_Count,0.015197781999005948,0.9197178709900234
Fwd_IAT_Std,0.014173010161165503,0.9338908811511889
Fwd_IAT_Min,0.013236587564863869,0.9471274687160528
Min_Packet_Length,0.007881371148841883,0.9550088398648947
Fwd_Packet_Length_Min,0.0072136060744663845,0.9622224459393611
ACK_Flag_Count,0.006911299735978411,0.9691337456753395
Bwd_IAT_Max,0.005717989490401044,0.9748517351657405
Bwd_IAT_Min,0.005691943471508897,0.9805436786372494
Bwd_IAT_Mean,0.0056363919801210305,0.9861800706173705
Bwd_IAT_Total,0.005154710205705284,0.9913347808230757
Down_Up_Ratio,0.0045878354334529,0.9959226162565286
Bwd_IAT_Std,0.0040773837434713335,0.9999999999999999
Fwd_PSH_Flags,0.0,0.9999999999999999
FIN_Flag_Count,0.0,0.9999999999999999
URG_Flag_Count,0.0,0.9999999999999999
Active_Mean,0.0,0.9999999999999999
Active_Std,0.0,0.9999999999999999
Active_Max,0.0,0.9999999999999999
Active_Min,0.0,0.9999999999999999
Idle_Std,0.0,0.9999999999999999
