Feature,Missing_Count,Missing_Percentage
Destination_Port,0,0.0
Flow_Duration,0,0.0
Total_Fwd_Packets,0,0.0
Total_Length_of_Fwd_Packets,0,0.0
Fwd_Packet_Length_Max,0,0.0
Fwd_Packet_Length_Min,0,0.0
Fwd_Packet_Length_Mean,0,0.0
Bwd_Packet_Length_Max,0,0.0
Bwd_Packet_Length_Min,0,0.0
Flow_Bytes_s,0,0.0
Flow_Packets_s,0,0.0
Flow_IAT_Mean,0,0.0
Flow_IAT_Std,0,0.0
Flow_IAT_Max,0,0.0
Flow_IAT_Min,0,0.0
Fwd_IAT_Mean,0,0.0
Fwd_IAT_Std,0,0.0
Fwd_IAT_Min,0,0.0
Bwd_IAT_Total,0,0.0
Bwd_IAT_Mean,0,0.0
Bwd_IAT_Std,0,0.0
Bwd_IAT_Max,0,0.0
Bwd_IAT_Min,0,0.0
Fwd_PSH_Flags,0,0.0
Fwd_Header_Length,0,0.0
Bwd_Header_Length,0,0.0
Bwd_Packets_s,0,0.0
Min_Packet_Length,0,0.0
Max_Packet_Length,0,0.0
Packet_Length_Mean,0,0.0
Packet_Length_Variance,0,0.0
FIN_Flag_Count,0,0.0
PSH_Flag_Count,0,0.0
ACK_Flag_Count,0,0.0
URG_Flag_Count,0,0.0
Down_Up_Ratio,0,0.0
Init_Win_bytes_forward,0,0.0
Init_Win_bytes_backward,0,0.0
act_data_pkt_fwd,0,0.0
min_seg_size_forward,0,0.0
Active_Mean,0,0.0
Active_Std,0,0.0
Active_Max,0,0.0
Active_Min,0,0.0
Idle_Std,0,0.0
Label,0,0.0
