Feature,Minimum,Maximum,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Destination_Port,0.0,1028.0,53.0,443.0,390.0,-532.0,1028.0,0,0.0
Flow_Duration,-13.0,13323981.125,208.0,5329717.25,5329509.25,-7994055.875,13323981.125,0,0.0
Total_Fwd_Packets,1.0,12.0,2.0,6.0,4.0,-4.0,12.0,0,0.0
Total_Length_of_Fwd_Packets,0.0,812.0,12.0,332.0,320.0,-468.0,812.0,0,0.0
Fwd_Packet_Length_Max,0.0,496.0,6.0,202.0,196.0,-288.0,496.0,0,0.0
Fwd_Packet_Length_Min,0.0,92.5,0.0,37.0,37.0,-55.5,92.5,0,0.0
Fwd_Packet_Length_Mean,0.0,121.0,6.0,52.0,46.0,-63.0,121.0,0,0.0
Bwd_Packet_Length_Max,0.0,1856.0,6.0,746.0,740.0,-1104.0,1856.0,0,0.0
Bwd_Packet_Length_Min,0.0,205.0,0.0,82.0,82.0,-123.0,205.0,0,0.0
Flow_Bytes_s,-160415.708671,267677.9965626,119.43079159999999,107142.8571,107023.4263084,-160415.708671,267677.9965626,0,0.0
Flow_Packets_s,-26780.655974811245,44639.822160886746,2.0233260755,17857.14286,17855.1195339245,-26780.655974811245,44639.822160886746,0,0.0
Flow_IAT_Mean,-13.0,1390165.22225,83.0,556115.8889,556032.8889,-833966.33335,1390165.22225,0,0.0
Flow_IAT_Std,0.0,3723151.336818825,0.0,1489260.53472753,1489260.53472753,-2233890.802091295,3723151.336818825,0,0.0
Flow_IAT_Max,-13.0,12498281.0,176.0,4999418.0,4999242.0,-7498687.0,12498281.0,0,0.0
Flow_IAT_Min,-14.0,168.0,3.0,69.0,66.0,-96.0,168.0,0,0.0
Fwd_IAT_Mean,0.0,1842329.1695625,1.0,736932.267825,736931.267825,-1105395.9017375,1842329.1695625,0,0.0
Fwd_IAT_Std,0.0,1415821.0739375,0.0,566328.429575,566328.429575,-849492.6443624999,1415821.0739375,0,0.0
Fwd_IAT_Min,-12.0,122.5,0.0,49.0,49.0,-73.5,122.5,0,0.0
Bwd_IAT_Total,0.0,376100.0,0.0,150440.0,150440.0,-225660.0,376100.0,0,0.0
Bwd_IAT_Mean,0.0,74225.0,0.0,29690.0,29690.0,-44535.0,74225.0,0,0.0
Bwd_IAT_Std,0.0,72727.7385842473,0.0,29091.095433698923,29091.095433698923,-43636.643150548385,72727.7385842473,0,0.0
Bwd_IAT_Max,0.0,302772.5,0.0,121109.0,121109.0,-181663.5,302772.5,0,0.0
Bwd_IAT_Min,0.0,117.5,0.0,47.0,47.0,-70.5,117.5,0,0.0
Fwd_PSH_Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fwd_Header_Length,-116.0,300.0,40.0,144.0,104.0,-116.0,300.0,0,0.0
Bwd_Header_Length,-148.0,300.0,20.0,132.0,112.0,-148.0,300.0,0,0.0
Bwd_Packets_s,0.0,5208.0818566761245,0.16765054925,2083.333333,2083.16568245075,-3124.580873126875,5208.0818566761245,0,0.0
Min_Packet_Length,0.0,92.5,0.0,37.0,37.0,-55.5,92.5,0,0.0
Max_Packet_Length,0.0,2756.0,6.0,1106.0,1100.0,-1644.0,2756.0,0,0.0
Packet_Length_Mean,0.0,379.33333325,6.0,155.3333333,149.3333333,-217.99999995,379.33333325,0,0.0
Packet_Length_Variance,0.0,259332.3795625005,5.333333333,103736.15182500001,103730.81849166701,-155590.8944041675,259332.37956250052,0,0.0
FIN_Flag_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
PSH_Flag_Count,0.0,1.0,0.0,1.0,1.0,-1.5,2.5,0,0.0
ACK_Flag_Count,0.0,1.0,0.0,1.0,1.0,-1.5,2.5,0,0.0
URG_Flag_Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Down_Up_Ratio,0.0,2.5,0.0,1.0,1.0,-1.5,2.5,0,0.0
Init_Win_bytes_forward,-1.0,20481.5,-1.0,8192.0,8193.0,-12290.5,20481.5,0,0.0
Init_Win_bytes_backward,-1.0,589.0,-1.0,235.0,236.0,-355.0,589.0,0,0.0
act_data_pkt_fwd,0.0,7.5,0.0,3.0,3.0,-4.5,7.5,0,0.0
min_seg_size_forward,2.0,50.0,20.0,32.0,12.0,2.0,50.0,0,0.0
Active_Mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Active_Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Active_Max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Active_Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Idle_Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
