Feature,Count,Missing Values,Unique Values,Mean,Median,Mode,Minimum,Maximum,Range,Variance,Standard Deviation,Q1,Q2,Q3,IQR,Skewness,Kurtosis
Destination_Port,2522362,0,163,348.52457141361947,80.0,53.0,0.0,1028.0,1028.0,150376.3309072781,387.7838713862119,53.0,80.0,443.0,390.0,0.9435977461246182,-0.7687882432877102
Flow_Duration,2522362,0,590264,3208234.96424854,50577.0,13323981.125,-13.0,13323981.125,13323994.125,27590817731904.312,5252696.234497509,208.0,50577.0,5329717.25,5329509.25,1.251927308340234,-0.2524358576979746
Total_Fwd_Packets,2522362,0,12,3.962773781082969,2.0,2.0,1.0,12.0,11.0,13.019292850030638,3.6082257204934725,2.0,2.0,6.0,4.0,1.2594040090993008,0.16774474016859608
Total_Length_of_Fwd_Packets,2522362,0,812,203.01918955328378,66.0,0.0,0.0,812.0,812.0,77611.22947118514,278.5879205406888,12.0,66.0,332.0,320.0,1.3815162519118853,0.3305678944424639
Fwd_Packet_Length_Max,2522362,0,497,126.59757203763773,40.0,0.0,0.0,496.0,496.0,29921.492587639383,172.9783009155755,6.0,40.0,202.0,196.0,1.248804095024433,-0.1308176102068237
Fwd_Packet_Length_Min,2522362,0,89,16.73454504151268,2.0,0.0,0.0,92.5,92.5,469.47301541863095,21.667325986808592,0.0,2.0,37.0,37.0,0.9618067962062373,-0.19938927113779048
Fwd_Packet_Length_Mean,2522362,0,57430,38.6229817968591,36.11111111,0.0,0.0,121.0,121.0,1178.406855843273,34.32793113258172,6.0,36.11111111,52.0,46.0,0.938916256235224,0.2937292127452249
Bwd_Packet_Length_Max,2522362,0,1849,473.5371199692986,97.0,0.0,0.0,1856.0,1856.0,501564.36179712473,708.212088146711,6.0,97.0,746.0,740.0,1.214171634505581,-0.3583397742298118
Bwd_Packet_Length_Min,2522362,0,198,41.2339263753577,0.0,0.0,0.0,205.0,205.0,3546.942894155119,59.55621625116155,0.0,0.0,82.0,82.0,1.2377874430820288,0.3349799203307806
Flow_Bytes_s,2522362,0,1506921,66365.09469985052,3715.037858,267062.1940724625,-160046.1855874375,267062.1940724625,427108.3796599,11320227176.558308,106396.55622508797,119.456785025,3715.037858,106896.5517,106777.094914975,1.2177380822097075,-0.3715052758490791
Flow_Packets_s,2522362,0,1239401,9524.693202234115,69.742244285,44639.811417355486,-26780.63806892581,44639.811417355486,71420.4494862813,242090603.67966178,15559.261026143298,2.0304884296749997,69.742244285,17857.14286,17855.112371570325,1.365650223998928,0.31288435187966623
Flow_IAT_Mean,2522362,0,706078,355439.44739372935,20425.3333333333,1390165.22225,-13.0,1390165.22225,1390178.22225,311608019515.93994,558218.612656314,83.0,20425.3333333333,556115.8889,556032.8889,1.1894434003005212,-0.4425173401275333
Flow_IAT_Std,2522362,0,861312,892405.3894555968,12313.31031,0.0,0.0,3723151.336818825,3723151.336818825,2167091524540.9905,1472104.4543581107,0.0,12313.31031,1489260.53472753,1489260.53472753,1.2344756538622985,-0.313823181251319
Flow_IAT_Max,2522362,0,549916,2791890.596993215,46474.0,12498281.0,-13.0,12498281.0,12498294.0,21257474643716.168,4610582.896306732,176.0,46474.0,4999418.0,4999242.0,1.293760998964727,-0.07241469897435371
