Feature_1,Feature_2,Correlation
Bwd_IAT_Total,Bwd_IAT_Max,0.9896
Flow_Duration,Flow_IAT_Max,0.9874
Bwd_IAT_Mean,Bwd_IAT_Max,0.9857
Fwd_Packet_Length_Min,Min_Packet_Length,0.9821
Bwd_IAT_Total,Bwd_IAT_Mean,0.9784
Total_Fwd_Packets,Fwd_Header_Length,0.9722
Flow_IAT_Mean,Fwd_IAT_Mean,0.9665
Max_Packet_Length,Packet_Length_Variance,0.9658
Flow_IAT_Mean,Flow_IAT_Std,0.9653
Flow_IAT_Std,Flow_IAT_Max,0.962
Packet_Length_Mean,Packet_Length_Variance,0.9548
Flow_Duration,Flow_IAT_Std,0.9547
Flow_IAT_Std,Fwd_IAT_Mean,0.9518
Max_Packet_Length,Packet_Length_Mean,0.9489
Total_Length_of_Fwd_Packets,Fwd_Packet_Length_Max,0.9445
Bwd_Packet_Length_Max,Packet_Length_Variance,0.9421
Bwd_Packet_Length_Max,Max_Packet_Length,0.9401
Flow_IAT_Mean,Flow_IAT_Max,0.9338
Flow_IAT_Max,Fwd_IAT_Mean,0.9306
Flow_Duration,Fwd_IAT_Mean,0.9281
