Feature,Importance,Cumulative Importance
Destination_Port,0.08674101784911527,0.08674101784911527
Init_Win_bytes_backward,0.06318677827170188,0.14992779612081714
Bwd_Packets_s,0.04880006033801325,0.1987278564588304
Bwd_Header_Length,0.04593542403208155,0.24466328049091196
Flow_Packets_s,0.04479184694831169,0.28945512743922364
Max_Packet_Length,0.042990997598407105,0.3324461250376307
Flow_Duration,0.03921601148659118,0.37166213652422186
Flow_IAT_Std,0.038297214605678545,0.4099593511299004
Flow_IAT_Max,0.03621611931161914,0.4461754704415195
min_seg_size_forward,0.035905100316048155,0.48208057075756766
Init_Win_bytes_forward,0.03529779017677547,0.5173783609343431
Packet_Length_Mean,0.03495064214947467,0.5523290030838177
Flow_Bytes_s,0.034722373904789244,0.587051376988607
Fwd_Packet_Length_Max,0.032918226842658195,0.6199696038312652
Fwd_Packet_Length_Mean,0.03158809443500471,0.6515576982662699
Total_Length_of_Fwd_Packets,0.030718615657812767,0.6822763139240826
Bwd_Packet_Length_Max,0.02863233267733075,0.7109086466014134
Flow_IAT_Min,0.028517706209787493,0.7394263528112008
Fwd_Header_Length,0.027222355831974028,0.7666487086431749
Total_Fwd_Packets,0.025202379594857702,0.7918510882380326
