Feature,Minimum,Maximum,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Destination_Port,0.0,1028.0,53.0,443.0,390.0,-532.0,1028.0,0,0.0
Flow_Duration,-13.0,13323981.125,208.0,5329717.25,5329509.25,-7994055.875,13323981.125,0,0.0
Total_Fwd_Packets,1.0,12.0,2.0,6.0,4.0,-4.0,12.0,0,0.0
Total_Length_of_Fwd_Packets,0.0,812.0,12.0,332.0,320.0,-468.0,812.0,0,0.0
Fwd_Packet_Length_Max,0.0,496.0,6.0,202.0,196.0,-288.0,496.0,0,0.0
Fwd_Packet_Length_Min,0.0,92.5,0.0,37.0,37.0,-55.5,92.5,0,0.0
Fwd_Packet_Length_Mean,0.0,121.0,6.0,52.0,46.0,-63.0,121.0,0,0.0
Bwd_Packet_Length_Max,0.0,1856.0,6.0,746.0,740.0,-1104.0,1856.0,0,0.0
Bwd_Packet_Length_Min,0.0,205.0,0.0,82.0,82.0,-123.0,205.0,0,0.0
Flow_Bytes_s,-160415.708671,267677.9965626,119.43079159999999,107142.8571,107023.4263084,-160415.708671,267677.9965626,0,0.0
Flow_Packets_s,-26780.655974811245,44639.822160886746,2.0233260755,17857.14286,17855.1195339245,-26780.655974811245,44639.822160886746,0,0.0
Flow_IAT_Mean,-13.0,1390165.22225,83.0,556115.8889,556032.8889,-833966.33335,1390165.22225,0,0.0
Flow_IAT_Std,0.0,3723151.336818825,0.0,1489260.53472753,1489260.53472753,-2233890.802091295,3723151.336818825,0,0.0
Flow_IAT_Max,-13.0,12498281.0,176.0,4999418.0,4999242.0,-7498687.0,12498281.0,0,0.0
Flow_IAT_Min,-14.0,168.0,3.0,69.0,66.0,-96.0,168.0,0,0.0
Fwd_IAT_Mean,0.0,1842329.1695625,1.0,736932.267825,736931.267825,-1105395.9017375,1842329.1695625,0,0.0
Fwd_IAT_Std,0.0,1415821.0739375,0.0,566328.429575,566328.429575,-849492.6443624999,1415821.0739375,0,0.0
Fwd_IAT_Min,-12.0,122.5,0.0,49.0,49.0,-73.5,122.5,0,0.0
Bwd_IAT_Total,0.0,376100.0,0.0,150440.0,150440.0,-225660.0,376100.0,0,0.0
Bwd_IAT_Mean,0.0,74225.0,0.0,29690.0,29690.0,-44535.0,74225.0,0,0.0
