TSNE1,TSNE2,TSNE3,Label
6.1712103,-0.7305866,8.476081,0
3.9706912,-18.44527,18.052114,0
20.786755,-5.230859,7.6370068,4
9.166291,-7.8548393,23.256067,0
-3.3727403,-1.7701565,8.679267,0
26.085772,0.04951181,13.159786,4
-0.577698,4.632014,4.9750824,0
-17.963783,-9.810748,3.1104524,0
-22.298485,-3.7589912,9.960892,0
12.960105,0.71386373,-1.3409415,0
14.944133,-0.9018575,-5.610437,0
-14.18361,16.876488,-0.34268513,0
-8.912522,17.858238,6.7509665,0
3.3210924,-0.6313665,5.092205,0
20.823753,-2.9361537,21.756939,4
2.4431324,2.7523668,-27.27474,2
8.118189,-3.9449422,0.51528317,0
12.494656,-17.712582,5.267578,0
-4.9263687,0.94273573,1.6726934,0
14.274151,-11.645384,5.6878085,0
23.990746,-9.220874,5.6316624,4
4.5859895,-22.3706,-2.976326,0
-26.044743,-8.154072,-2.0084076,0
-9.897613,-13.960703,-13.91288,10
-6.2950087,-2.0240543,10.342202,0
0.73945284,10.079157,4.9810266,0
-14.545063,6.002928,-20.038168,0
0.124681346,14.813288,5.221281,0
0.09288778,-21.013206,1.5762376,0
0.503686,-8.270263,18.600563,2
1.3281204,1.0882783,24.378895,0
-11.940809,-19.659323,10.9458475,0
-5.312255,8.805726,-22.503305,0
18.510977,9.70823,-4.973998,0
15.113667,0.07336272,13.642279,4
-20.665283,-12.552611,-8.709539,0
-14.001944,-3.7172008,10.449797,0
-8.308078,-0.79626644,-24.364912,0
-0.52785987,-4.1109962,24.572777,2
1.9729781,-20.64457,13.80597,0
-2.0538223,21.720903,-14.383248,0
-5.253298,-25.739202,-0.5399541,0
18.688143,4.432732,0.4361301,0
-14.305652,5.9468684,-18.588404,0
-18.683804,-15.007667,-9.188005,0
-0.044309914,25.452845,-12.263104,0
-2.6527128,-12.506976,-26.987617,10
-26.64212,-0.20351669,6.766506,0
-3.8476207,16.912033,-8.949305,0
4.7904344,15.611496,-12.5827265,0
-8.050596,6.235983,-20.669107,0
-3.4412756,17.70318,-9.708623,0
-2.069314,-6.5735993,-4.3478703,0
-18.57587,-10.154461,-1.329631,0
-18.77759,-14.842909,-9.229922,0
-8.308778,-13.693076,-11.520471,0
-14.573236,-3.4700212,7.6147237,0
-15.80148,-10.394783,-15.86053,10
-12.713379,-4.2107143,19.489515,0
7.940677,7.418077,-25.197657,2
-20.404808,6.979832,9.328838,0
-4.342128,13.507261,21.4767,0
7.6482215,-5.5720587,13.57825,0
-8.113464,-16.838522,-9.794259,0
-6.002278,-6.2325845,-20.491623,0
-7.0342274,1.723848,-1.2190909,0
-10.103674,-21.723248,11.386714,0
-1.6422751,-3.7354286,26.480183,2
-12.7791,6.0729156,21.144253,0
-10.884629,-27.65666,2.106194,0
5.444935,-25.968172,-5.931689,0
-9.491636,-22.276814,11.35467,0
14.293756,8.566429,-7.7977138,0
-4.7049294,-1.0574809,15.213296,2
2.7485805,-21.872332,-6.845757,0
10.572795,-9.569065,-13.819582,0
-14.8862505,4.1289916,-9.593321,0
14.866773,-17.479265,4.1895537,0
15.363469,9.469432,-5.178938,0
-6.5179787,-13.186402,12.036105,0
23.127861,-7.9335427,7.275356,4
4.240985,24.882086,9.356107,0
13.289491,-6.9506288,7.249352,0
4.839368,-25.041153,7.227542,0
20.732872,6.567461,-11.548021,0
-14.942397,0.07511339,-4.929936,0
7.540738,-3.2480037,-14.433656,0
13.039169,-2.8084066,-5.0810323,0
23.21101,16.086365,7.4434175,4
4.0305624,-13.903902,8.399287,0
-19.87948,-9.596858,3.4305842,0
-5.563048,0.8660441,2.3856091,0
19.188,6.3810787,-12.0648775,0
18.7,0.57708627,-10.783257,0
11.140713,-13.382974,-19.300953,0
-19.347015,-14.293721,-9.079974,1
15.65721,5.0979633,1.9635785,0
3.3640065,-12.715297,2.6876905,0
-0.96812814,-3.4914687,-13.171418,0
3.1770453,-12.025781,2.5549824,0
-9.07666,6.353077,15.271883,0
12.024499,-9.574221,-13.058404,0
11.652343,10.6190195,-1.2262161,6
8.110987,23.08839,10.39774,0
-15.6932335,-8.65345,-14.31354,10
11.740748,-7.752476,-10.304652,0
4.220388,-19.484386,16.292824,0
-7.741605,0.4493354,-23.098621,0
22.439753,4.6810107,-1.8156614,0
0.049904183,16.914795,-4.423339,0
-22.448301,0.98473424,-5.947368,0
11.099156,12.62625,-4.244587,0
-6.9920907,9.326458,-20.478395,0
3.8416288,-20.409355,13.3768635,0
-9.529552,0.4803844,-15.166599,0
5.4346747,-15.045076,3.4597929,0
-7.3716774,-24.009703,10.908965,0
-8.081643,6.5465393,-20.758228,0
10.921229,8.674769,-11.982202,3
