,precision,recall,f1-score,support
0,0.9997425368526969,0.9075643279107649,0.9514259926443932,419297.0
1,0.024070426003447425,1.0,0.04700931770363691,391.0
2,0.9549815222666019,0.9992188415420068,0.976599480836769,25603.0
3,0.6310377064506076,0.9844433641225085,0.7690846942650968,2057.0
4,0.9057647309083173,0.9853630315302285,0.9438887195544349,34570.0
5,0.41280708819975837,0.9799235181644359,0.5809011051289317,1046.0
6,0.37925925925925924,0.9507892293407614,0.5422292824993381,1077.0
7,0.6010204081632653,0.9924178601516428,0.7486495074674293,1187.0
8,0.047619047619047616,1.0,0.09090909090909091,2.0
9,0.006342494714587738,0.8571428571428571,0.012591815320041973,7.0
10,0.7196202026649645,0.9930632019378991,0.8345130696275734,18164.0
11,0.6551351351351351,0.9409937888198758,0.7724665391969407,644.0
12,0.05058365758754864,0.1326530612244898,0.07323943661971831,294.0
13,0.011594202898550725,1.0,0.022922636103151862,4.0
14,0.02716933445661331,0.9923076923076923,0.05289052890528905,130.0
accuracy,0.9210661422910641,0.9210661422910641,0.9210661422910641,0.9210661422910641
macro avg,0.4284498502120267,0.9143920516130108,0.49462141445212243,504473.0
weighted avg,0.9739362243488474,0.9210661422910641,0.9434184702870086,504473.0
