0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
380539,15853,1165,1156,3527,1404,1603,745,40,940,7028,319,727,242,4009
0,391,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,25583,7,1,1,8,2,0,0,0,0,0,0,0
0,0,0,2025,0,1,0,0,0,0,0,0,0,8,23
37,0,24,18,34064,3,18,32,0,0,0,0,5,50,319
0,0,1,1,0,1025,16,0,0,0,0,0,0,0,3
0,0,0,1,0,49,1024,1,0,0,0,0,0,1,1
0,0,0,0,0,0,2,1178,0,0,0,0,0,3,4
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
58,0,16,1,11,0,27,0,0,0,18038,0,0,1,12
0,0,0,0,5,0,2,2,0,0,0,606,0,26,3
1,0,0,0,0,0,0,0,0,0,0,0,39,9,245
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,129
