Metric,Value
Model,ANN
Accuracy,0.9210661422910641
Balanced Accuracy,0.9143920516130108
Precision,0.9739362243488474
Recall,0.9210661422910641
F1 Score,0.9434184702870086
ROC AUC,0.9960511578740182
Matthews Correlation Coefficient,0.8013719148454366
Cohen Kappa,0.7826656353317385
Training Time (s),4234.57223367691
Prediction Time (s),18.4888858795166
Throughput (samples/sec),27285.202758425465
Latency (ms/sample),0.0366499017380843
Memory Usage (MB),-533.72265625
Model Size (MB),0.6942338943481445
