,precision,recall,f1-score,support
0,0.9219539347919614,0.991500058431136,0.9554631399078167,419297.0
1,0.0,0.0,0.0,391.0
2,0.0,0.0,0.0,25603.0
3,0.0,0.0,0.0,2057.0
4,0.5974778590681555,0.8976858547873879,0.7174430701652988,34570.0
5,0.0,0.0,0.0,1046.0
6,0.8865546218487395,0.1959145775301764,0.3209125475285171,1077.0
7,0.8050314465408805,0.3235046335299073,0.46153846153846156,1187.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,7.0
10,0.8583061889250815,0.02901343316450121,0.056129513260198105,18164.0
11,0.0,0.0,0.0,644.0
12,0.0,0.0,0.0,294.0
13,0.0,0.0,0.0,4.0
14,0.0,0.0,0.0,130.0
accuracy,0.8878334420276209,0.8878334420276209,0.8878334420276209,0.8878334420276209
macro avg,0.2712882700783212,0.16250790382954058,0.16743244882668618,504473.0
weighted avg,0.8419241344033506,0.8878334420276209,0.8470975464612276,504473.0
