0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
415733,1,274,0,3136,0,0,66,0,0,87,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9237,0,0,0,16366,0,0,0,0,0,0,0,0,0,0
706,0,0,0,1350,0,1,0,0,0,0,0,0,0,0
3537,0,0,0,31033,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,12,0,26,0,0,0,0,0,0,0,0
841,0,0,0,25,0,211,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,384,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17590,0,3,0,17,0,0,27,0,0,527,0,0,0,0
644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
