Metric,Value
Model,AdaBoost
Accuracy,0.8878334420276209
Balanced Accuracy,0.16250790382954058
Precision,0.8419241344033506
Recall,0.8878334420276209
F1 Score,0.8470975464612276
ROC AUC,0.9403350408686417
Matthews Correlation Coefficient,0.575858943323898
Cohen Kappa,0.5512152880313665
Training Time (s),2204.5956857204437
Prediction Time (s),47.247156620025635
Throughput (samples/sec),10677.319781529031
Latency (ms/sample),0.09365646252629108
Memory Usage (MB),-399.73828125
Model Size (MB),0.20588302612304688
