,precision,recall,f1-score,support
0,0.9983393137100732,0.9993131360348393,0.9988259875113676,419297.0
1,0.974025974025974,0.5754475703324808,0.7234726688102894,391.0
2,0.9994919493512584,0.9989063781588096,0.9991990779629232,25603.0
3,0.9901574803149606,0.9781234807972776,0.9841036928344339,2057.0
4,0.9990401954511081,0.9936071738501591,0.9963162779904862,34570.0
5,0.9704761904761905,0.9741873804971319,0.9723282442748091,1046.0
6,0.9841860465116279,0.9823584029712163,0.983271375464684,1077.0
7,0.9949324324324325,0.9924178601516428,0.9936735554618304,1187.0
8,1.0,1.0,1.0,2.0
9,0.0,0.0,0.0,7.0
10,0.9896834061135371,0.9981832195551641,0.993915140883675,18164.0
11,1.0,0.9767080745341615,0.9882168106834249,644.0
12,0.6021897810218978,0.5612244897959183,0.5809859154929577,294.0
13,0.0,0.0,0.0,4.0
14,0.0,0.0,0.0,130.0
accuracy,0.9977778790936284,0.9977778790936284,0.9977778790936284,0.9977778790936284
macro avg,0.7668348512939372,0.7353651444452535,0.7476205831580589,504473.0
weighted avg,0.9974781875311954,0.9977778790936284,0.9975861783443338,504473.0
