0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
419009,6,10,15,15,19,2,0,0,0,186,0,35,0,0
166,225,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,25575,0,1,0,0,0,0,0,0,0,0,0,0
39,0,0,2012,5,1,0,0,0,0,0,0,0,0,0
213,0,3,5,34349,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,1019,15,0,0,0,0,0,0,0,0
8,0,0,0,0,11,1058,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1178,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,11,0,0,0,0,0,18131,0,1,0,0
6,0,0,0,0,0,0,6,0,0,3,629,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,165,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,72,0,0
