Metric,Value
Model,CatBoost
Accuracy,0.9977778790936284
Balanced Accuracy,0.7353651444452535
Precision,0.9974781875311954
Recall,0.9977778790936284
F1 Score,0.9975861783443338
ROC AUC,0.9999426146446333
Matthews Correlation Coefficient,0.9925950177641617
Cohen Kappa,0.9925908673122401
Training Time (s),156.1675248146057
Prediction Time (s),0.6566457748413086
Throughput (samples/sec),768257.4370053867
Latency (ms/sample),0.0013016470154821142
Memory Usage (MB),1561.02734375
Model Size (MB),0.6081523895263672
