,precision,recall,f1-score,support
0,0.9994250131221072,0.9990507921592571,0.9992378676036482,419297.0
1,0.7860576923076923,0.8363171355498721,0.8104089219330854,391.0
2,0.999804702757597,0.9997656524626021,0.9997851772287862,25603.0
3,0.9946367625548513,0.9917355371900827,0.9931840311587147,2057.0
4,0.9980333179083758,0.9982065374602256,0.9981199201689179,34570.0
5,0.973659454374412,0.9894837476099426,0.9815078236130867,1046.0
6,0.9889196675900277,0.9944289693593314,0.9916666666666667,1077.0
7,1.0,0.9966301600673968,0.9983122362869198,1187.0
8,0.5,1.0,0.6666666666666666,2.0
9,1.0,0.8571428571428571,0.9230769230769231,7.0
10,0.9899923438696271,0.9966417088746972,0.9933058984910836,18164.0
11,1.0,0.9968944099378882,0.9984447900466563,644.0
12,0.6678832116788321,0.6224489795918368,0.6443661971830986,294.0
13,0.6,0.75,0.6666666666666666,4.0
14,0.38028169014084506,0.4153846153846154,0.39705882352941174,130.0
accuracy,0.9983745413530556,0.9983745413530556,0.9983745413530556,0.9983745413530556
macro avg,0.8585795904202912,0.8962754068527072,0.870787240688022,504473.0
weighted avg,0.9983927131866187,0.9983745413530556,0.9983812881689414,504473.0
