0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418899,89,5,4,52,19,8,0,2,0,177,0,28,0,14
64,327,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,25597,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2040,8,5,0,0,0,0,0,0,0,0,0
54,0,0,2,34508,0,0,0,0,0,6,0,0,0,0
3,0,0,4,0,1035,4,0,0,0,0,0,0,0,0
1,0,0,1,0,4,1071,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1183,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
52,0,0,0,8,0,0,0,0,0,18103,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,642,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,183,2,73
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
14,0,0,0,0,0,0,0,0,0,0,0,62,0,54
