Metric,Value
Model,DecisionTree
Accuracy,0.9983745413530556
Balanced Accuracy,0.8962754068527072
Precision,0.9983927131866187
Recall,0.9983745413530556
F1 Score,0.9983812881689414
ROC AUC,0.9983129977438645
Matthews Correlation Coefficient,0.994597236611189
Cohen Kappa,0.9945966284140738
Training Time (s),131.15026903152466
Prediction Time (s),0.2800297737121582
Throughput (samples/sec),1801497.7240189693
Latency (ms/sample),0.0005550936793686841
Memory Usage (MB),0.17578125
Model Size (MB),0.9774942398071289
