,precision,recall,f1-score,support
0,0.9992676579127535,0.9990436373262866,0.9991556350626118,419297.0
1,0.7973684210526316,0.7749360613810742,0.7859922178988327,391.0
2,0.999765615844369,0.9996094207710033,0.9996875122065544,25603.0
3,0.9970660146699266,0.9912493923189111,0.9941491955143832,2057.0
4,0.9964704180529437,0.9963262944749783,0.996398351052289,34570.0
5,0.9801699716713881,0.9923518164435946,0.9862232779097387,1046.0
6,0.9953445065176909,0.9925719591457753,0.9939562993956299,1077.0
7,0.9991554054054054,0.9966301600673968,0.9978911851539435,1187.0
8,1.0,1.0,1.0,2.0
9,1.0,0.7142857142857143,0.8333333333333334,7.0
10,0.9902159059852419,0.9973574102620568,0.9937738281357141,18164.0
11,0.9953488372093023,0.9968944099378882,0.9961210240496509,644.0
12,0.7206896551724138,0.7108843537414966,0.7157534246575342,294.0
13,1.0,0.75,0.8571428571428571,4.0
14,0.4032258064516129,0.38461538461538464,0.3937007874015748,130.0
accuracy,0.9982516408212134,0.9982516408212134,0.9982516408212134,0.9982516408212134
macro avg,0.9249392143963786,0.8864504009847707,0.9028852619276432,504473.0
weighted avg,0.9982406951219337,0.9982516408212134,0.9982449013639192,504473.0
