0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418896,77,6,4,112,14,0,1,0,0,178,1,5,0,3
88,303,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,25593,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2039,3,2,0,0,0,0,0,0,0,0,0
125,0,0,1,34443,0,0,0,0,0,1,0,0,0,0
5,0,0,1,0,1038,2,0,0,0,0,0,0,0,0
3,0,0,0,0,5,1069,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1183,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
38,0,0,0,7,0,1,0,0,0,18116,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,642,0,0,0
15,0,0,0,0,0,1,0,0,0,0,0,209,0,69
0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
6,0,0,0,0,0,0,0,0,0,0,0,74,0,50
