Metric,Value
Model,ExtraTrees
Accuracy,0.9982516408212134
Balanced Accuracy,0.8864504009847707
Precision,0.9982406951219337
Recall,0.9982516408212134
F1 Score,0.9982449013639192
ROC AUC,0.9995869780085067
Matthews Correlation Coefficient,0.994186390336423
Cohen Kappa,0.9941860996927306
Training Time (s),249.6961851119995
Prediction Time (s),11.804153442382812
Throughput (samples/sec),42736.90633236685
Latency (ms/sample),0.023398979613146416
Memory Usage (MB),959.66015625
Model Size (MB),1063.8696908950806
