0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
410443,4,1995,762,2686,1464,4,478,3,158,1188,24,87,0,1
387,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1793,0,23101,4,184,29,1,0,0,0,491,0,0,0,0
1536,0,126,248,134,0,0,6,0,0,7,0,0,0,0
2387,0,646,4,30816,0,0,3,0,0,712,0,2,0,0
427,0,5,54,8,3,0,548,0,0,0,1,0,0,0
711,0,0,46,313,0,0,3,0,0,2,2,0,0,0
823,0,22,0,43,0,0,276,0,0,23,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,9,0,158,0,0,0,0,0,16053,0,0,0,0
308,0,0,0,1,1,0,0,0,318,16,0,0,0,0
289,0,0,0,1,0,0,0,0,0,4,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
