0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418381,1,12,99,122,28,33,7,1,1,515,73,0,16,8
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,25503,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,1873,17,1,1,0,0,0,0,0,0,0,0
945,0,3,0,33620,1,1,0,0,0,0,0,0,0,0
283,0,0,0,3,737,23,0,0,0,0,0,0,0,0
134,0,0,0,1,21,921,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1177,0,0,0,3,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,2,24,0,4,0,0,0,17897,0,0,0,0
17,0,0,0,4,0,1,4,0,0,0,618,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,15,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
