,precision,recall,f1-score,support
0,0.9969096636104557,0.9986262720696786,0.997767229505931,419297.0
1,0.8466257668711656,0.35294117647058826,0.4981949458483754,391.0
2,0.9990623901238427,0.9988282623130101,0.9989453125,25603.0
3,0.967983991995998,0.9406903257170637,0.9541420118343196,2057.0
4,0.9952539017004426,0.9887474689036737,0.9919900165423572,34570.0
5,0.9214758751182592,0.9311663479923518,0.9262957679505468,1046.0
6,0.9282296650717703,0.9006499535747446,0.9142318567389256,1077.0
7,0.993214588634436,0.9865206402695872,0.9898562975486053,1187.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,7.0
10,0.987151448879169,0.993999119136754,0.9905634498271795,18164.0
11,0.9983050847457627,0.9145962732919255,0.9546191247974068,644.0
12,0.4891304347826087,0.30612244897959184,0.37656903765690375,294.0
13,0.0,0.0,0.0,4.0
14,0.0,0.0,0.0,130.0
accuracy,0.9958848144499309,0.9958848144499309,0.9958848144499309,0.9958848144499309
macro avg,0.6748895207689274,0.6208592192479312,0.6395450033833701,504473.0
weighted avg,0.995431214944287,0.9958848144499309,0.9955615763468033,504473.0
