0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418721,25,21,61,111,46,27,7,2,1,219,0,56,0,0
253,138,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,25573,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,1935,13,5,0,0,0,0,0,0,0,0,0
368,0,0,1,34181,0,4,0,0,0,16,0,0,0,0
30,0,3,2,1,974,35,0,0,0,0,0,1,0,0
75,0,0,0,0,32,970,0,0,0,0,0,0,0,0
5,0,0,0,9,0,1,1171,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,20,0,3,0,0,0,18055,0,0,0,2
40,0,0,0,9,0,5,1,0,0,0,589,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,90,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,37,0,0
