,precision,recall,f1-score,support
0,0.999258248703724,0.9992129683732534,0.9992356080255195,419297.0
1,0.8463687150837989,0.7749360613810742,0.8090787716955942,391.0
2,0.9999609313955306,0.9996875366168028,0.9998242153167054,25603.0
3,0.9970703125,0.9927078269324259,0.994884287454324,2057.0
4,0.9978597252349963,0.998004049754122,0.9979318822763757,34570.0
5,0.9810964083175804,0.9923518164435946,0.9866920152091255,1046.0
6,0.9990680335507922,0.9953574744661096,0.9972093023255814,1077.0
7,1.0,0.9974726200505476,0.9987347110923661,1187.0
8,1.0,1.0,1.0,2.0
9,1.0,0.5714285714285714,0.7272727272727273,7.0
10,0.990270565728341,0.9974124642149307,0.9938286842754875,18164.0
11,1.0,0.9922360248447205,0.9961028838659393,644.0
12,0.6878980891719745,0.7346938775510204,0.7105263157894737,294.0
13,1.0,0.5,0.6666666666666666,4.0
14,0.425531914893617,0.15384615384615385,0.22598870056497175,130.0
accuracy,0.9984716724185437,0.9984716724185437,0.9984716724185437,0.9984716724185437
macro avg,0.928292196305357,0.8466231630602218,0.8735984514553904,504473.0
weighted avg,0.9983823891334244,0.9984716724185437,0.9984068954393862,504473.0
