0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418967,55,1,3,57,16,0,0,0,0,178,0,17,0,3
88,303,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,25595,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2042,8,1,0,0,0,0,0,0,0,0,0
68,0,0,1,34501,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,1038,1,0,0,0,0,0,0,0,0
1,0,0,1,0,3,1072,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1184,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
38,0,0,0,8,0,0,0,0,0,18117,0,0,0,1
4,0,0,0,1,0,0,0,0,0,0,639,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,216,0,23
1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
31,0,0,0,0,0,0,0,0,0,0,0,79,0,20
