,precision,recall,f1-score,support
0,0.999553827066234,0.9991318802662552,0.9993428091272004,419297.0
1,0.8482384823848238,0.8005115089514067,0.8236842105263158,391.0
2,0.9998437683084014,0.9998437683084014,0.9998437683084014,25603.0
3,0.9965936739659368,0.9956246961594555,0.9961089494163424,2057.0
4,0.9980351363846509,0.9991321955452704,0.9985833646535025,34570.0
5,0.9782813975448537,0.9904397705544933,0.9843230403800475,1046.0
6,0.9962721342031687,0.9925719591457753,0.9944186046511628,1077.0
7,0.9991568296795953,0.9983150800336984,0.9987357774968394,1187.0
8,1.0,1.0,1.0,2.0
9,1.0,0.8571428571428571,0.9230769230769231,7.0
10,0.9900698384984723,0.9990090288482713,0.9945193467061274,18164.0
11,1.0,1.0,1.0,644.0
12,0.6566666666666666,0.6700680272108843,0.6632996632996633,294.0
13,1.0,1.0,1.0,4.0
14,0.4224137931034483,0.3769230769230769,0.3983739837398374,130.0
accuracy,0.9986084488168842,0.9986084488168842,0.9986084488168842,0.9986084488168842
macro avg,0.9256750365204168,0.9119142566059897,0.9182873627588243,504473.0
weighted avg,0.9985936195851048,0.9986084488168842,0.9985991820497987,504473.0
