0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
418933,56,4,3,54,15,0,1,0,0,178,0,41,0,12
78,313,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,25599,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2048,7,1,0,0,0,0,0,0,0,0,0
23,0,0,3,34540,0,0,0,0,0,4,0,0,0,0
6,0,0,1,0,1036,3,0,0,0,0,0,0,0,0
1,0,0,0,0,7,1069,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1185,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
10,0,0,0,7,0,1,0,0,0,18146,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,644,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,197,0,54
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19,0,0,0,0,0,0,0,0,0,0,0,62,0,49
