Metric,Value
Model,XGBoost
Accuracy,0.9986084488168842
Balanced Accuracy,0.9119142566059897
Precision,0.9985936195851048
Recall,0.9986084488168842
F1 Score,0.9985991820497987
ROC AUC,0.9999775505483818
Matthews Correlation Coefficient,0.9953753884697013
Cohen Kappa,0.9953745799147681
Training Time (s),628.0969700813293
Prediction Time (s),14.016809701919556
Throughput (samples/sec),35990.57208652223
Latency (ms/sample),0.027785054307999747
Memory Usage (MB),36.1875
Model Size (MB),0.005093574523925781
